set_type,set_type_count,key_note_pitch_class,count,proportion
test,3144,0,262,0.08333333333333334
test,3144,1,257,0.08174300254452926
test,3144,2,268,0.08524173027989823
test,3144,3,277,0.08810432569974555
test,3144,4,265,0.08428753180661579
test,3144,5,258,0.08206106870229009
test,3144,6,230,0.07315521628498728
test,3144,7,282,0.08969465648854963
test,3144,8,267,0.08492366412213741
test,3144,9,254,0.08078880407124682
test,3144,10,252,0.0801526717557252
test,3144,11,272,0.08651399491094149
train,14686,0,1213,0.08259566934495437
train,14686,1,1248,0.0849788914612556
train,14686,2,1226,0.08348086613100912
train,14686,3,1209,0.08232330110309137
train,14686,4,1215,0.08273185346588587
train,14686,5,1236,0.08416178673566661
train,14686,6,1250,0.08511507558218712
train,14686,7,1191,0.08109764401470788
train,14686,8,1228,0.08361705025194062
train,14686,9,1225,0.08341277407054337
train,14686,10,1240,0.08443415497752961
train,14686,11,1205,0.08205093286122837
valid,3146,0,273,0.08677685950413223
valid,3146,1,243,0.07724094087730451
valid,3146,2,254,0.08073744437380802
valid,3146,3,262,0.08328035600762873
valid,3146,4,268,0.08518753973299428
valid,3146,5,254,0.08073744437380802
valid,3146,6,268,0.08518753973299428
valid,3146,7,275,0.08741258741258741
valid,3146,8,253,0.08041958041958042
valid,3146,9,269,0.08550540368722187
valid,3146,10,256,0.08137317228226319
valid,3146,11,271,0.08614113159567705
