model,inv_0,inv_1,inv_2,inv_3
jukebox,0.7497168742921857,-1.0,0.9527078565980168,-1.0
mg_large_h,0.6988142292490118,0.7293116782675947,0.7131960335621663,0.7235829251224632
mg_med_h,0.5359683794466403,0.5908739365815932,0.5728451563691839,0.615815255423373
mg_small_h,0.5976284584980237,0.6488785769528229,0.6498855835240275,-1.0
mg_audio,0.20553359683794467,0.2219644238205723,0.19145690312738367,0.2365290412876137
baseline_mel,0.2885375494071146,0.3480278422273782,0.35621662852784136,0.298110566829951
baseline_mfcc,0.25217391304347825,0.2954369682907966,0.30739893211289093,0.3086074177746676
baseline_chroma,0.1565217391304348,0.18561484918793503,0.16857360793287568,0.185444366689993
baseline_concat,0.36205533596837947,0.4431554524361949,0.4271548436308162,0.4100769769069279
